Publisher,Vendor,Also Tag,
1517 Publishing,IPG,keepingram,
2000 AD,,,
47north,Ingram,keepingram,
Aaron Bach LLC,Ingram,keepingram,
Abaddon Books,Simon & Schuster,,
Abbeville Press,Norton,,
Abilene Christian University Press,Ingram,keepingram,
Ablaze,Ingram,keepingram,
Abrams,Hachette-Abrams,,was Hachette but they only distribute; can't sell direct?
Abrams Appleseed,Hachette-Abrams,,
Abrams Books for Young Readers,Hachette-Abrams,,
Abrams Comicarts,Hachette-Abrams,,
Acc Art Books,ACC Art Books,,
Ace Books,Penguin Random House,,
Aconyte,Simon & Schuster,,Appear to no longer be available thru Simon & Schuster
Acre Books,Ingram,keepingram,
ACU Press/Leafwood Publishers,Ingram,keepingram,
Adams Media Corporation,Simon & Schuster,,
AddisonHighsmithPublishers,IPG,keepingram,
AdLibPublishers,Ingram,keepingram,
AeonianPress,Ingram,keepingram,
AFK,Ingram,keepingram,
Aftershock Comics,Ingram,keepingram,
Aguilar,Penguin Random House,,
Ahoy Comics,Simon & Schuster,,
Airship,Penguin Random House,,
Akashic Books,Norton,,
Aladdin Paperbacks,Simon & Schuster,,
Albatross Book Co.,Ingram,keepingram,
Albin Michel,ACC Art Books,,
Alcove Press,Penguin Random House,,
Alexander Ebenstein,Ingram,keepingram,
Alexis Patton,Ingram,keepingram,
Alfaguara,Penguin Random House,,
Alfred A. Knopf,Penguin Random House,,
Alfred A. Knopf Books for Young Readers,Penguin Random House,,
Algonquin Books,Hachette,,
Alice James Books,Consortium,,
Alien Books,Ingram,keepingram,
Allen Sircy,Ingram,keepingram,
Alma Books,Macmillan,,
Also Industries,Ingram,keepingram,
Althea Press,Simon & Schuster,,
Amazon Crossing,Ingram,keepingram,
Amazon Publishing,Ingram,keepingram,
Amber Allen Publishing,Penguin Random House,,
Amber Books,Ingram,keepingram,
Amber Lotus Publishing,Simon & Schuster,,
Amber-Allen Publishing,Penguin Random House,,
Amberjack Publishing,IPG,,
Amberley Publishing,IPG,,
America Through Time,Ingram,keepingram,
Amistad Press,HarperCollins,,
Amok Books,Ingram,keepingram,
Amplify Publishing,Ingram,keepingram,
Amulet Books,Hachette-Abrams,,
Anchor Books,Penguin Random House,,
Andrews McMeel Publishing,Simon & Schuster,,
Andscape Books,Ingram,,
Angel City Press,Gibbs Smith,,
Angry Robot,Penguin Random House,,
Anima,Macmillan,,
Anne Schwartz Books,Penguin Random House,,
Anthropolis Publishing,Ingram,keepingram,
Apg Sales & Distribution,Ingram,keepingram,
Apocalypse Party,Ingram-PI,,
Apollo,Macmillan,,
Applause Books,Ingram,keepingram,
Applewood Books,Ingram,keepingram,
Apprentice House,Ingram,keepingram,
Arcade Publishing,Simon & Schuster,,
Arcadia Publishing (SC),Ingram,keepingram,
Archaia,Simon & Schuster,,
Archway Editions,Simon & Schuster,,
Arouca Press,Ingram,keepingram,
Arctis,Simon & Schuster,,
Arcturus Editions,Texas Bookman,,
Aria,Macmillan,,
Art Institute of Chicago,Ingram,keepingram,
Arthur A. Levine Books,Ingram,keepingram,
Artisan Publishers,Hachette,,
Aspect,Ingram,keepingram,
Aspects Entertainment,Ingram,keepingram,
Assouline,Assouline only? or DAP?,,
Astra House,Penguin Random House,,
Atheneum Books,Simon & Schuster,,
Atheneum Books for Young Readers,Simon & Schuster,,
Atico de Los Libros,Ingram,keepingram,
Atlantic Books (UK),IPG,ingram,
Atlatl Press,Ingram-PI,,
Atmosphere Press,Ingram,keepingram,
Atria Books,Simon & Schuster,,
Atria/One Signal Publishers,Simon & Schuster,,
Atria/Primero Sueno Press,Simon & Schuster,,
Authors Equity,Simon & Schuster,,
Autumn House Press,Ingram,keepingram,
Auwa,Macmillan,,
Ave Maria Press,Ingram,keepingram,
Avery Hill Publishing,Ingram,keepingram,
Avery Publishing Group,Penguin Random House,,
Avid Reader Press,Simon & Schuster,,
Avon Books,HarperCollins,,
Ayahuasca Publishing,Ingram,keepingram,
Ayrelon Press,Ingram-PI,,
B de Bolsillo,Penguin Random House,,
Babylit,Ingram,keepingram,
Back Bay Books,Hachette,,
Backbeat Books,Ingram,keepingram,
Bad Hand Books,Ingram,keepingram,
Baen,Simon & Schuster,,
Baker Academic,Ingram,keepingram,
Baker Books,Ingram,keepingram,
Balance,Hachette,,
Balance of Seven,Ingram,keepingram,
Ballantine Books,Penguin Random House,,
Ballast Books,Ingram,keepingram,
Balzer & Bray/Harperteen,HarperCollins,,
Banovallum,Ingram,keepingram,
Bantam,Penguin Random House,,
Bantam Classics,Penguin Random House,,
Barnes & Noble,Ingram,,
Basic Books,Hachette,,
Batsford,Penguin Random House,,
Bazillion Points LLC,Ingram,keepingram,
BBC Books,Penguin Random House,,
Beach Lane Books,Simon & Schuster,,
Beacon Press,Penguin Random House,,
Bear & Company,Ingram,keepingram,
Becker & Mayer,Ingram,keepingram,
Behemoth Comics,Simon & Schuster,,
Belknap Press,DAP-Trilateral,,
Belle Point Press,Ingram,keepingram,
Benbella Books,Penguin Random House,,To change to Simon & Schuster in Jan 2025
Berger Books,Penguin Random House,,
Berkley / Nal,Penguin Random House,,
Berkley Books,Penguin Random House,,
Berkley Romance,Penguin Random House,,
Berrett-Koehler Publishers,Penguin Random House,,
Bethany House Publishers,Ingram,keepingram,
Big Picture Press,Penguin Random House,,
Bill Pearl,Ingram-PI,,
Birlinn,Ingram,keepingram,
Bison Books,Ingram,keepingram,
Bizarro Pulp Press,Ingram,keepingram,
Black Belt Books,IPG,,
Black Dog & Leventhal Publishers,Hachette,,
Black Irish Entertainment LLC,Ingram,keepingram,
Black Library,Simon & Schuster,,
Black Mask Entertainment,Simon & Schuster,,
Black Panel Press,Ingram,keepingram,
Black Shuck Books,Ingram,keepingram,
Black Spot Books,IPG,,
Black T-Shirt Books,Ingram,keepingram,
